,Model,# of CPU Cores,# of Threads,Graphics Core Count,Base Clock(GHz),Max. Boost Clock (GHz),All Core Boost Speed (GHz),L1 Cache (KB),L2 Cache(MB),L3 Cache(MB),1kU Pricing(USD),PCI Express® Version,Default TDP(W),Max. Operating Temperature (Tjmax(°C)),System Memory Specification(MHz),Memory Channels,Memory Channels,Graphics Frequency(MHz),GPU Base(MHz)
on,AMD EPYC™ 7402,24,48,0,2.8,3.35,0,0,0,128,1783, 4.0 x128,180,,3200,8,204.80 GB/s,,
on,AMD EPYC™ 7402P,24,48,0,2.8,3.35,0,0,0,128,1250, 4.0 x128,180,,3200,8,204.80 GB/s,,
on,A6-7470K with Radeon™ R5 Series,2,0,4,3.7,4,0,256,1,0,,,65,71.3,2133,2,,800,
on,AMD EPYC™ 7352,24,48,0,2.3,3.2,0,0,0,128,1080, 4.0 x128,155,,3200,8,204.80 GB/s,,
on,A6-7400K with Radeon™ R5 Series,2,2,4,3.5,3.9,0,128,1,0,,,65,70,1866,2,,758,
on,AMD EPYC™ 7302,16,32,0,3,3.3,0,0,0,128,978, 4.0 x128,155,,3200,8,204.80 GB/s,,
on,AMD EPYC™ 7302P,16,32,0,3,3.3,0,0,0,128,825, 4.0 x128,155,,3200,8,204.80 GB/s,,
on,A6-6420K with Radeon™ HD 8470D,2,2,0,4,4.2,0,96,1,0,,,65,70,1866,2,,800,
on,AMD EPYC™ 7282,16,32,0,2.8,3.2,0,0,0,64,604, 4.0 x128,120,,3200,8,85.30 GB/s,,
on,A6-6310 with Radeon™ R4 Graphics,4,4,0,1.8,2.4,0,128,2,0,,,17.5,90,1866,1,,800,
on,AMD EPYC™ 7272,12,24,0,2.9,3.2,0,0,0,64,549, 4.0 x128,120,,3200,8,85.30 GB/s,,
on,A6-6400K with Radeon™ HD 8470D,2,2,0,3.9,4.1,0,96,1,0,,,65,70,1866,2,,800,
on,AMD EPYC™ 7262,8,16,0,3.2,3.4,0,0,0,128,505,x128,155,,3200,8,204.80 GB/s,,
on,A6-5200 with Radeon™ HD 8400,4,4,0,2,0,0,256,2,0,,,25,90,1600,1,,600,
on,AMD EPYC™ 7252,8,16,0,3.1,3.2,0,0,0,64,348, 4.0 x128,120,,3200,8,85.30 GB/s,,
on,AMD EPYC™ 7232P,8,16,0,3.1,3.2,0,0,0,32,338, 4.0 x128,120,,3200,8,85.30 GB/s,,
on,AMD EPYC™ 7601,32,64,0,2.2,3.2,0,0,0,64,3270, 3.0 x128,180,,2666,8,170.60 GB/s,,
on,AMD EPYC™ 7551P,32,64,0,2,3,0,0,0,64,1830, 3.0 x128,180,,2666,8,170.60 GB/s,,
on,AMD EPYC™ 7551,32,64,0,2,3,0,0,0,64,2660, 3.0 x128,180,,2666,8,170.60 GB/s,,
on,AMD EPYC™ 7501,32,64,0,2,3,0,0,0,64,2870, 3.0 x128,162.5,,2400/2666,8,153.60 GB/s/170.60 GB/s,,
on,AMD EPYC™ 7451,24,48,0,2.3,3.2,0,0,0,64,1880, 3.0 x128,180,,2666,8,170.60 GB/s,,
on,A4-7300 with Radeon™ HD 8470D,2,2,0,3.8,4,0,96,1,0,,,65,70,1600,2,,800,
on,AMD EPYC™ 7401P,24,48,0,2,3,0,0,0,64,920, 3.0 x128,162.5,,2400/2666,8,153.60 GB/s/170.60 GB/s,,
on,A4-6320 with Radeon™ HD 8370D,2,2,0,3.8,4,0,96,1,0,,,65,70,1600,2,,760,
on,AMD EPYC™ 7401,24,48,0,2,3,0,0,0,64,1620, 3.0 x128,162.5,,2400/2666,8,153.60 GB/s/170.60 GB/s,,
on,A4-6300 with Radeon™ HD 8370D,2,2,0,3.7,3.9,0,96,1,0,,,65,70,1600,2,,760,
on,AMD EPYC™ 7371,16,32,0,3.1,3.8,0,0,0,64,1550, 3.0 x128,200,,2666,8,170.60 GB/s,,
on,AMD EPYC™ 7351P,16,32,0,2.4,2.9,0,0,0,64,660, 3.0 x128,162.5,,2400/2666,8,153.60 GB/s/170.60 GB/s,,
on,AMD EPYC™ 7351,16,32,0,2.4,2.9,0,0,0,64,890, 3.0 x128,162.5,,2400/2666,8,153.60 GB/s/170.60 GB/s,,
on,AMD EPYC™ 7301,16,32,0,2.2,2.7,0,0,0,64,740, 3.0 x128,162.5,,2400/2666,8,153.60 GB/s/170.60 GB/s,,
on,A4-5100 with Radeon™ HD 8330,4,4,0,1.55,0,0,256,2,0,,,15,90,1600,1,,500,
on,AMD EPYC™ 7281,16,32,0,2.1,2.7,0,0,0,32,580, 3.0 x128,162.5,,2400/2666,8,153.60 GB/s/170.60 GB/s,,
on,A4-5000 with Radeon™ HD 8330,4,4,0,1.5,0,0,256,2,0,,,15,90,1600,1,,500,
on,AMD EPYC™ 7261,8,16,0,2.5,2.9,0,0,0,64,570,,162.5,,2400/2666,8,153.60 GB/s/170.60 GB/s,,
on,AMD EPYC™ 7251,8,16,0,2.1,2.9,0,0,0,32,400, 3.0 x128,120,,2400,8,153.60 GB/s,,
on,FX-9590,8,8,0,4.7,5,0,384,8,8,,n/a,220,57,1866,,,,
on,FX-9370,8,8,0,4.4,4.7,0,384,8,8,,n/a,220,57,1866,,,,
on,FX-8370 with Wraith cooler,8,8,0,4,4.3,0,384,8,8,,n/a,125,61.1,1866,2,,,
on,FX-8370E,8,8,0,3.3,4.3,0,384,8,8,,n/a,95,70.5,1866,,,,
on,A10-7400P with Radeon™ R6 Graphics,4,4,6,2.5,3.4,0,0,4,0,,,35,,1866,2,,654,
on,FX-8370,8,8,0,4,4.3,0,384,8,8,,n/a,125,61.1,1866,,,,
on,A10-7300 with Radeon™ R6 Graphics,4,4,6,1.9,3.2,0,0,4,0,,,20,,,2,,553,
on,FX-8350 with Wraith cooler,8,8,0,4,4.2,0,384,8,8,,n/a,125,61,1866,,,,
on,FX-8350,8,8,0,4,4.2,0,384,8,8,,n/a,125,61,1866,,,,
on,A10 Micro-6700T with Radeon™ R6 Graphics,4,4,0,2.2,0,0,0,2,0,,,4.5,,1333,1,,,
on,FX-8320E,8,8,0,3.2,4,0,384,8,8,,n/a,95,70.5,1866,,,,
on,FX-8320,8,8,0,3.5,4,0,384,8,8,,n/a,125,61.1,1866,,,,
on,FX-8310,8,8,0,3.4,4.3,0,0,8,0,,n/a,95,70.5,,,,,
on,FX-8300,8,8,0,3.3,4.2,0,384,8,8,,n/a,95,70.5,1866,,,,
on,FX-8150,8,8,0,3.6,4.2,0,384,8,8,,n/a,125,61,,,,,
on,FX-8120,8,8,0,3.1,4,0,384,8,8,,n/a,125,61,,,,,
on,A8-7410 with Radeon™ R5 Graphics,4,4,0,2.2,2.5,0,0,2,0,,,15,90,1866,1,,847,
on,FX-6350 with Wraith cooler,6,6,0,3.9,4.2,0,288,6,8,,n/a,125,61,1866,,,,
on,A8-7200P with Radeon™ R5 Graphics,4,4,4,2.4,3.3,0,0,4,0,,,100,,1866,2,,626,
on,FX-6350,6,6,0,3.9,4.2,0,288,6,8,,n/a,125,61,1866,,,,
on,A8-7100 with Radeon™ R5 Graphics,4,4,4,1.8,3,0,0,4,0,,,20,,1600,2,,514,
on,FX-6300,6,6,0,3.5,3.8,0,288,6,8,,3,95,70.5,1866,,,,
on,A8-6410 with Radeon™ R5 Graphics,4,4,0,2,2.4,0,0,2,0,,,15,90,1866,1,,847,
on,FX-6200,6,6,0,3.8,4.1,0,288,6,8,,n/a,125,61.1,1866,,,,
on,FX 6100,6,6,0,3.3,3.9,0,288,6,8,,n/a,95,70,1866,,,,
on,FX-4350,4,4,0,4.2,4.3,0,192,4,8,,n/a,125,61.1,1866,,,,
on,FX-4320,4,4,0,4,4.1,0,192,4,4,,Not Listed,95,70.5,1866,,,,
on,FX-4300,4,4,0,3.8,4,0,192,4,4,,n/a,95,70.5,1866,,,,
on,FX-4170,4,4,0,4.2,4.3,0,192,4,8,,n/a,125,61.1,,,,,
on,FX-4130,4,4,0,3.8,3.9,0,192,4,4,,n/a,125,70,1866,,,,
on,FX-4100,4,4,0,3.6,3.8,0,192,4,8,,n/a,95,70.5,1866,,,,
on,1075T,6,6,0,3.5,0,0,768,3,6,,n/a,95,,,,,,
on,1045T,0,0,0,2.7,3.2,0,768,3,6,,n/a,95,71,,,,,
on,A6-8500P with Radeon™ R5 Graphics,2,2,4,1.6,3,0,0,1,0,,,15,90,,2,,800,
on,980,4,4,0,3.7,0,0,512,2,6,,n/a,125,,,,,,
on,A6-7310 with Radeon™ R4 Graphics,4,4,0,2,2.4,0,0,2,0,,,15,90,1866,1,,800,
on,A6-7310 with Radeon™ R4 Graphics,4,4,0,2,2.4,0,0,2,0,,,15,90,1866,1,,800,
on,975,4,4,0,3.6,0,0,512,2,6,,n/a,125,62,,,,,
on,A6-7000 with Radeon™ R4 Graphics,2,2,3,2.2,3,0,0,1,0,,,17,,,2,,533,
on,965,4,4,0,3.4,0,0,0,2,0,,n/a,80,,,,,,
on,960T,4,4,0,3,3.4,0,512,512,0,,n/a,95,71,,,,,
on,A6-6310 with Radeon™ R4 Graphics,4,4,0,2.4,0,0,0,2,0,,,15,,1865,1,,,
on,850,4,4,0,3.3,0,0,512,2,0,,n/a,95,,,,,,
on,840,4,4,0,3.2,0,0,512,2,0,,n/a,95,71,,,,,
on,A6-5350M with Radeon™ HD 8450G,2,2,0,2.9,3.5,0,0,2,0,,,35,,1600,2,,533,
on,570,2,2,0,4,0,0,0,0,6,,n/a,80,,,,,,
on,565,2,2,0,3.4,0,0,0,1,0,,,80,,,,,,
on,A6-5200M with Radeon™ HD 8400,4,4,0,2,0,0,0,2,0,,,25,,,1,,,
on,555,2,2,0,3.2,0,0,0,1,0,,n/a,80,,,,,,
on,565,2,2,0,3.4,0,0,256,1,6,,n/a,80,70,,,,,
on,X940,4,4,0,2.4,0,0,512,2,0,,n/a,45,100,,,,,
on,N970,4,4,0,2.2,0,0,512,2,0,,n/a,35,100,,,,,
on,N960,4,4,0,1.8,0,0,512,2,0,,n/a,35,100,,,,,
on,N870,3,3,0,2.3,0,0,384,1.5,0,,n/a,35,100,,,,,
on,P860,3,3,0,2,0,0,384,1.5,0,,n/a,35,100,,,,,
on,N660,2,2,0,3,0,0,256,2,0,,n/a,35,100,,,,,
on,A4-7210 with Radeon™ R3 Graphics,4,4,0,1.8,2.2,0,0,2,0,,,65,90,1600,1,,686,
on,A4 Micro-6400T with Radeon™ R3 Graphics,4,4,0,1.6,0,0,0,2,0,,,4.5,,1333,1,,,
on,P650,2,2,0,2.6,0,0,256,2,0,,n/a,35,100,,,,,
on,A4-6210 with Radeon™ R3 Graphics,4,4,0,1.8,0,0,0,2,0,,,15,,1599,1,,,
on,N640,2,2,0,2.8,0,0,256,2,0,,n/a,35,100,,,,,
on,B99,4,4,0,3.3,0,0,0,2,0,,n/a,95,,,,,,
on,B97,4,4,0,3.2,0,0,0,2,0,,n/a,95,,,,,,
on,B95,0,0,0,3,0,0,0,2,0,,n/a,95,,,,,,
on,A4-5100 with Radeon™ HD 8330,4,4,0,1.55,0,0,0,2,0,,,15,,,1,,,
on,A4-5000 with Radeon™ HD 8330,4,4,0,1.5,0,0,0,2,0,,,15,,,1,,,
on,B77,3,3,0,3.2,0,0,0,1.5,0,,n/a,95,,,,,,
on,B75,3,3,0,3,0,0,0,1.5,0,,n/a,95,,,,,,
on,B60,2,2,0,3.5,0,0,0,1,0,,n/a,80,,,,,,
on,B59,2,2,0,3.4,0,0,0,1,0,,n/a,80,,,,,,
on,B57,2,2,0,3.2,0,0,0,1,0,,n/a,80,,,,,,
on,641,4,4,0,2.8,0,0,512,4,0,,Not Listed,100,70.1,,,,,
on,638,4,4,0,2.7,0,0,512,4,0,,Not Listed,65,70.1,,,,,
on,631,4,4,0,2.6,0,0,0,4,0,,Not Listed,65,,,,,,
on,631,4,4,0,2.6,0,0,0,4,0,,Not Listed,100,70.1,,,,,
on,620e,4,4,0,2.7,0,0,0,0,0,,Not Listed,45,,,,,,
on,460,3,3,0,3.4,0,0,384,1.5,0,,Not Listed,95,75,,,,,
on,425e,3,3,0,2.7,0,0,384,1.5,0,,Not Listed,45,,,,,,
on,255e,2,2,0,3.1,0,0,256,2,0,,Not Listed,45,72,,,,,
on,A10-8700P with Radeon™ R6 Graphics,4,4,6,1.8,3.2,0,0,2,0,,,,90,2133,2,,800,
on,7th Gen AMD Athlon™ X4 970,4,4,0,3.8,4,0,0,2,0,,3,65,,2400,,,,
on,A8-8600P with Radeon™ R6 Graphics,4,4,6,1.6,3,0,0,2,0,,,,90,2133,2,,720,
on,7th Gen AMD Athlon™ X4 950,4,4,0,3.5,3.8,0,0,2,0,,3,,,2400,,,,
on,A8-6410 with Radeon™ R5 Graphics,4,4,0,2.2,2.5,0,0,2,0,,,,90,1866,1,,847,
on,7th Gen AMD Athlon™ X4 940,4,4,0,3.2,3.6,0,0,2,0,,3,,,2400,,,,
on,A6-8500P with Radeon™ R5 Graphics,2,2,4,1.6,3,0,0,1,0,,,,90,,2,,800,
on,A6-7310 with Radeon™ R4 Graphics,4,4,0,2,2.4,0,0,2,0,,,,90,1866,1,,800,
on,880K with Near Silent Thermal Solution,4,0,0,4,4.2,0,256,4,0,,,95,72.4,2133,2,,,
on,A4-7210 with Radeon™ R3 Graphics,4,4,0,1.8,2.2,0,0,2,0,,,65,90,1600,1,,686,
on,870K with Near Silent Thermal Solution,4,4,0,3.9,4.1,0,128,4,0,,3,95,72.4,2133,2,,,
on,860K,4,4,0,3.7,4,0,128,4,0,,3,95,72.4,2133,2,,,
on,A10-6800B with Radeon™ HD 8670D,4,4,0,4.1,4.4,0,192,4,0,,,45,74,2133,2,,844,
on,860K with Near Silent Thermal Solution,4,4,0,3.7,4,0,128,4,0,,3,95,72.4,2133,2,,,
on,A10-6790B with Radeon™ HD 8670D,4,4,0,4,4.3,0,192,4,0,,,45,74,1866,2,,844,
on,845 with Near Silent Thermal Solution,4,4,0,3.5,3.8,0,0,2,0,,3,,71.3,2133,2,,,
on,A8-6500B with Radeon™ HD 8570D,4,4,0,3.5,4.1,0,192,4,0,,,65,71.3,1866,2,,800,
on,760K,4,4,0,3.8,4.1,0,0,4,0,,Not Listed,100,,,,,,
on,750,4,0,0,3.4,4,0,192,4,0,,n/a,65,71.3,1866,2,,,
on,A6-6420B with Radeon™ HD 8470D,2,2,0,4,4.2,0,96,1,0,,,65,70,1866,2,,800,
on,750K,4,4,0,3.4,4,0,0,4,0,,Not Listed,100,,,,,,
on,740,4,4,0,3.2,3.7,0,0,4,0,,Not Listed,65,,,,,,
on,A6-6400B with Radeon™ HD 8470D,2,2,0,3.9,4.1,0,96,1,0,,,65,70,1866,2,,800,
on,2800+,0,0,0,56,0,0,0,0,0,,n/a,45,70,,,,,
on,X1150,4,4,0,2,0,0,0,2,0,,n/a,17,70,800,,,,
on,6386 SE,16,16,0,2.8,3.5,0,48,16,16,,n/a,140,64.4,2000,,,,
on,6380,16,16,0,2.5,3.4,0,768,16,16,,n/a,115,69,2000,,,,
on,A10 PRO-7850B with Radeon™ R7 Graphics,4,4,8,3.7,4,0,256,4,0,,,95,72.4,2133,2,,720,
on,6378,16,16,0,2.4,3.3,0,768,16,16,,n/a,115,69,2000,,,,
on,6376,16,16,0,2.3,2,0,768,16,16,,n/a,115,69,2000,,,,
on,A10 PRO-7800B with Radeon™ R7 Graphics,4,4,8,3.5,3.9,0,256,4,0,,,65,71.3,2133,2,,720,
on,A8 PRO-7600B with Radeon™ R7 Graphics,4,4,6,3.1,3.8,0,0,4,0,,,65,71.3,2133,2,,720,
on,6370P,16,16,0,2,2.5,0,48,16,16,,n/a,99,69,2000,,,,
on,A6 PRO-7400B with Radeon™ R5 Graphics,2,2,4,3.5,3.9,0,0,1,0,,,65,70,1866,2,,756,
on,6366 HE,16,16,0,1.8,3.1,0,768,16,16,,n/a,85,65,1800,,,,
on,A4 PRO-7350B with Radeon™ R5 Graphics,2,2,3,3.4,3.8,0,0,1,0,,,65,70,1866,2,,514,
on,6348,12,12,0,2.8,3.4,0,576,12,16,,n/a,115,70.4,2000,,,,
on,A4 PRO-7300B with Radeon™ HD 8470D,2,2,0,3.8,4,0,96,1,0,,,65,70,1600,2,,800,
on,6344,12,12,0,2.6,2,0,576,12,16,,n/a,115,70.4,2000,,,,
on,A10 PRO-7350B with Radeon™ R6 Graphics,4,4,6,2.1,3.3,0,0,4,0,,,19,,1600,2,,553,
on,6338P,12,12,0,2.3,2.8,0,48,12,16,,n/a,99,69,2000,,,,
on,6328,8,8,0,3.2,3.8,0,384,8,16,,n/a,115,71.7,2000,,,,
on,A8 PRO-7150B with Radeon™ R5 Graphics,4,4,6,1.9,3.2,0,0,4,0,,,100,,1600,2,,533,
on,6320,8,8,0,2.8,3.3,0,384,8,16,,n/a,115,71.7,2000,,,,
on,A6 PRO-7050B with Radeon™ R4 Graphics,2,2,3,2.2,3,0,0,1,0,,,100,,1600,2,,533,
on,6308,4,4,0,3.5,0,0,192,4,16,,n/a,115,74.4,2000,,,,
on,A4 PRO-3350B with Radeon™ R4 Graphics,4,4,2,2,2.4,0,0,2,0,,,15,90,1600,1,,800,
on,A4 PRO-3340B with Radeon™ HD 8240 Graphics,4,4,2,2.2,0,0,0,2,0,,,25,,1600,1,,400,
on,6284 SE,16,16,0,2.7,3.4,0,768,16,16,,n/a,140,64.4,2000,,,,
on,6282 SE,16,16,0,2.6,3.3,0,768,16,16,,n/a,140,64.4,2000,,,,
on,FX-7600P with Radeon™ R7 Graphics,4,4,8,2.7,3.6,0,0,4,0,,,35,,2133,2,,686,
on,AMD Athlon™ 3000G,2,4,3,3.5,0,0,192,1,4,,3,35,95,2667,2,,1100,
on,FX-7500 with Radeon™ R7 Graphics,4,4,6,2.1,3.3,0,0,4,0,,,20,,1600,2,,553,
on,AMD Athlon™ 240GE,2,4,3,3.5,0,0,192,1,4,,3,35,95,2667,2,,1000,
on,6278,16,16,0,2.4,3.3,0,768,16,16,,n/a,115,69,2000,,,,
on,6276,16,16,0,2.3,3.2,0,768,16,16,,n/a,115,69,2000,,,,
on,AMD Athlon™ 220GE,2,4,3,3.4,0,0,192,1,4,,3,35,95,2667,2,,1000,
on,FX-8800P with Radeon™ R7 Graphics,4,4,8,2.1,3.4,0,0,2,0,,,,90,2133,2,,800,
on,AMD Athlon™ 200GE,2,4,3,3.2,0,0,192,1,4,,3,35,95,2667,2,,1000,
on,Athlon™ 5370 APU with Radeon™ R3 Series,4,4,0,2.2,0,0,256,2,0,,,25,76,1600,1,,600,
on,6274,16,16,0,2.2,3.1,0,768,16,16,,n/a,115,69,2000,,,,
on,6272,16,16,0,2.1,3,0,768,16,16,,n/a,115,69,2000,,,,
on,Athlon™ 5350 APU with Radeon™ R3 Series,4,4,0,2.05,0,0,256,2,0,,,25,76,1600,1,,600,
on,AMD Athlon™ PRO 200U Mobile Processor with Radeon™ Vega 3 Graphics,2,4,3,2.3,3.2,0,192,1,4,,3,15,105,2400,2,,1000,
on,6262 HE,16,16,0,1.6,2.9,0,768,16,16,,n/a,85,65,1800,,,,
on,Athlon™ 5150 APU with Radeon™ R3 Series,4,4,0,1.6,0,0,256,2,0,,,25,76,1600,1,,600,
on,AMD Athlon™ PRO 200GE,2,4,3,3.2,0,0,192,1,4,,3,35,95,2667,2,,1000,
on,6238,12,12,0,2.6,3.2,0,576,12,16,,n/a,115,70.4,2000,,,,
on,Sempron™ 3850 APU with Radeon™ R3 Series,4,4,0,1.3,0,0,256,2,0,,,25,90,1600,1,,450,
on,6234,12,12,0,2.4,3,0,576,12,16,,n/a,115,70.4,2000,,,,
on,Sempron™ 2650 APU with Radeon™ R3 Series,2,2,0,1.45,0,0,128,1,0,,,25,90,1333,1,,400,
on,E2-7110 with Radeon™ R2 Graphics,4,4,0,1.8,1.8,0,0,2,0,,,65,90,1600,1,,600,
on,6220,8,8,0,3,3.6,0,384,8,16,,n/a,115,71.7,2000,,,,
on,E2-7110 with Radeon™ R2 Graphics,4,4,0,1.8,1.8,0,0,2,0,,,65,90,1600,1,,600,
on,6212,8,8,0,2.6,3.2,0,384,8,16,,n/a,115,71.7,2000,,,,
on,E2-6110 with Radeon™ R2 Graphics,4,4,0,1.5,0,0,0,2,0,,,15,,1600,1,,,
on,6204,4,4,0,3.3,0,0,512,4,16,,n/a,115,74.4,2000,,,,
on,E2-3800 with Radeon™ HD 8280,4,4,0,1.3,0,0,128,2,0,,,15,90,1600,1,,450,
on,6180 SE,12,12,0,2.5,0,0,1536,6,12,,n/a,140,64,1800,,,,
on,E2-3000 with Radeon™ HD 8280,2,2,0,1.65,0,0,0,1,0,,,15,,,1,,,
on,6176,12,12,0,2.3,0,0,1536,6,12,,n/a,115,69,1800,,,,
on,6166 HE,12,12,0,1.8,0,0,1536,6,12,,n/a,85,69,1800,,,,
on,6140,8,8,0,2.6,0,0,1024,4,12,,n/a,115,69,1800,,,,
on,6132 HE,8,8,0,2.2,0,0,1024,4,12,,n/a,85,66,1800,,,,
on,E2-7110 with Radeon™ R2 Graphics,4,4,0,1.8,1.8,0,0,2,0,,,65,90,1600,1,,600,
on,4386,8,8,0,3.1,3.8,0,384,8,8,,n/a,95,70.5,2200,,,,
on,4376 HE,8,8,0,2.6,3.6,0,384,8,8,,n/a,65,68,2000,,,,
on,4365,8,8,0,2,2.8,0,384,8,8,,n/a,40,70,1600,,,,
on,4340,6,6,0,3.5,3.8,0,288,6,8,,n/a,95,67.7,2200,,,,
on,4334,6,6,0,3.1,3.5,0,288,6,8,,n/a,95,67.7,2000,,,,
on,E1-7010 with Radeon™ R2 Graphics,2,2,0,1.5,1.5,0,0,1,0,,,10,90,1333,1,,400,
on,4332 HE,6,6,0,3,3.7,0,288,6,8,,n/a,65,68,2000,,,,
on,4310 EE,6,6,0,2.2,3,0,192,4,8,,n/a,35,85,1600,,,,
on,E1 Micro-6200T with Radeon™ R2 Graphics,2,2,0,1.4,0,0,0,1,0,,,3.95,,,1,,,
on,4284,8,8,0,3,3.7,0,384,8,8,,n/a,95,70.5,2200,,,,
on,E1-6010 with Radeon™ R2 Graphics,2,2,0,1.35,0,0,0,1,0,,,10,,,1,,,
on,4280,8,8,0,2.8,2.2,0,384,8,8,,n/a,95,70.5,2200,,,,
on,E1-2500 with Radeon™ HD 8240,2,2,0,1.4,0,0,0,1,0,,,15,,,1,,,
on,4276 HE,8,8,0,2.6,3.6,0,384,8,8,,n/a,65,68,2000,,,,
on,E1-2200 with Radeon™ HD 8210,2,2,0,1,0,0,0,1,0,,,9,,,1,,,
on,4274 HE,8,8,0,2.5,3.5,0,384,8,8,,n/a,65,68,2000,,,,
on,E1-2100 with Radeon™ HD 8210,2,2,0,1,0,0,0,1,0,,,9,,,1,,,
on,4256 EE,8,8,0,1.6,2.8,0,384,8,8,,n/a,35,64,1600,,,,
on,4240,6,6,0,3.4,3.8,0,288,6,8,,n/a,95,70.5,,,,,
on,4238,6,6,0,3.3,3.7,0,288,6,8,,n/a,95,70.5,2200,,,,
on,4234,6,6,0,3.1,3.5,0,288,6,8,,n/a,95,70.5,2200,,,,
on,E1-7010 with Radeon™ R2 Graphics,2,2,0,1.5,1.5,0,0,1,0,,,,90,1333,1,,400,
on,4230 HE,6,6,0,2.9,3.7,0,288,6,8,,n/a,65,68,2000,,,,
on,4228 HE,6,6,0,2.8,3.6,0,288,6,8,,n/a,65,68,2000,,,,
on,4226,6,6,0,2.7,3.1,0,288,6,8,,n/a,95,70.5,2000,,,,
on,3380,8,8,0,2.6,3.6,0,384,8,8,,n/a,65,70.3,2000,,,,
on,3365,8,8,0,2.3,3.3,0,384,8,8,,n/a,65,70.3,2000,,,,
on,3350 HE,4,4,0,2.8,3.8,0,192,4,8,,n/a,45,69.1,2000,,,,
on,3320 EE,4,4,0,1.9,2.5,0,192,4,8,,n/a,25,70,1400,,,,
on,3280,8,8,0,2.4,3.4,0,384,8,8,,n/a,65,61.1,2000,,,,
on,AMD Opteron™ X2170,4,4,0,2.4,0,0,0,2,0,,,25,,1866,,,800,
on,3260 HE,4,4,0,2.7,3.7,0,192,4,4,,n/a,45,61.1,2000,,,,
on,AMD Opteron™ X2150 APU,4,4,0,1.9,0,0,0,2,0,,,22,,,,,600,
on,3250 HE,0,0,0,2.5,3.5,0,192,4,4,,n/a,45,,2000,,,,
on,TL-64,2,2,0,2.2,0,0,0,1,0,,n/a,35,95,667,,,,
on,TL-60,2,2,0,2,0,0,0,1,0,,n/a,31,,667,,,,
on,TL-56,0,0,0,1.8,0,0,0,0,0,,n/a,31,,,,,,
on,TL-52,2,2,0,1.6,0,0,0,2,0,,n/a,31,,,,,,
