-1,Model,# of CPU Cores,# of Threads,Graphics Core Count,Base Clock(GHz),Max. Boost Clock (GHz),All Core Boost Speed (GHz),L1 Cache (KB),L2 Cache(MB),L3 Cache(MB),1kU Pricing(USD),PCI Express® Version,Default TDP(W),Max. Operating Temperature (Tjmax(°C)),System Memory Specification(MHz),Memory Channels,Memory Channels,Graphics Frequency(MHz),GPU Base(MHz)
on,AMD Ryzen™ Threadripper™ 2970WX,24,48,-1,3,4.2,-1,2304,12,64,-1,3,250,68,2933,4,-1,-1,-1
on,AMD Ryzen™ Threadripper™ 2950X,16,32,-1,3.5,4.4,-1,1536,8,32,-1,3,180,68,2933,4,-1,-1,-1
on,AMD Ryzen™ Threadripper™ 2920X,12,24,-1,3.5,4.3,-1,1152,6,32,-1,3,180,68,2933,4,-1,-1,-1
on,AMD Ryzen™ 7 2700X,8,16,-1,3.7,4.3,-1,768,4,16,-1,3,105,85,2933,2,-1,-1,-1
on,AMD Ryzen™ 7 2700,8,16,-1,3.2,4.1,-1,768,4,16,-1,3,65,95,2933,2,-1,-1,-1
on,AMD Ryzen™ 7 2700E Processor,8,16,-1,2.8,4,-1,768,4,16,-1,3,45,95,2667,2,-1,-1,-1
on,AMD Ryzen™ 5 2600X,6,12,-1,3.6,4.2,-1,576,3,16,-1,3,95,95,2933,2,-1,-1,-1
on,AMD Ryzen™ 5 2600,6,12,-1,3.4,3.9,-1,576,3,16,-1,3,65,95,2933,2,-1,-1,-1
on,AMD Ryzen™ 5 2600E,6,12,-1,3.1,4,-1,578,3,16,-1,3,45,95,2667,2,-1,-1,-1
on,AMD Ryzen™ 5 2500X,4,8,-1,3.6,4,-1,384,2,8,-1,3,65,95,2933,2,-1,-1,-1
on,AMD Ryzen™ 5 2400G with Radeon™ RX Vega 11 Graphics,4,8,11,3.6,3.9,-1,384,2,4,-1, 3.0 x8,65,95,2933,2,-1,1250,-1
on,AMD Ryzen™ 5 2400GE with Radeon™ RX Vega 11 Graphics,4,8,11,3.2,3.8,-1,384,2,4,-1, 3.0 x8,35,95,2933,2,-1,1250,-1
on,AMD Ryzen™ 3 2300X,4,4,-1,3.5,4,-1,384,2,8,-1,3,65,95,2933,2,-1,-1,-1
on,AMD Ryzen™ 3 2200G with Radeon™ Vega 8 Graphics,4,4,8,3.5,3.7,-1,384,2,4,-1, 3.0 x8,65,95,2933,2,-1,1100,-1
on,AMD Ryzen™ 9 PRO 6950H,8,16,12,3.3,4.9,-1,384,4,16,-1,4,45,95,-1,2,-1,2400,-1
on,AMD Ryzen™ 9 PRO 6950HS,8,16,12,3.3,4.9,-1,512,4,16,-1,4,35,94.99,-1,2,-1,2400,-1
on,AMD Ryzen™ 7 PRO 6860Z,8,16,12,2.7,4.75,-1,512,4,16,-1,4,28,95,-1,2,-1,2200,-1
on,AMD Ryzen™ 3 2200GE with Radeon™ Vega 8 Graphics,4,4,8,3.2,3.6,-1,384,2,4,-1, 3.0 x8,35,95,2933,2,-1,1100,-1
on,AMD Ryzen™ 7 2800H,4,8,11,3.3,3.8,-1,192,2,4,-1,3,45,95,3200,2,-1,1300,-1
on,AMD Ryzen™ 5 2600H,4,8,8,3.2,3.6,-1,192,2,4,-1,3,45,95,3200,2,-1,1100,-1
on,AMD Ryzen™ 7 PRO 6850H,8,16,12,3.2,4.7,-1,512,4,16,-1,4,45,95,-1,2,-1,2200,-1
on,AMD Ryzen™ 7 2700U,4,8,10,2.2,3.8,-1,384,2,4,-1,3,15,95,2400,2,-1,1300,-1
on,AMD Ryzen™ 7 PRO 6850HS,8,16,12,3.2,4.7,-1,512,4,16,-1,4,35,95,-1,2,-1,2200,-1
on,AMD Ryzen™ 5 2500U,4,8,8,2,3.6,-1,384,2,4,-1,3,15,95,2400,2,-1,1100,-1
on,AMD Ryzen™ 3 2300U,4,4,6,2,3.4,-1,384,2,4,-1,3,15,95,2400,2,-1,1100,-1
on,AMD Ryzen™ 7 PRO 6850U,8,16,12,2.7,4.7,-1,512,4,16,-1,4,-1,95,-1,2,-1,2200,-1
on,AMD Ryzen™ 3 2200U,2,4,3,2.5,3.4,-1,384,1,4,-1,3,15,95,2400,2,-1,1100,-1
on,AMD Ryzen™ 5 PRO 6650H,6,12,6,3.3,4.5,-1,384,3,16,-1,4,45,95,-1,2,-1,1900,-1
on,AMD Ryzen™ Threadripper™ 1950X,16,32,-1,3.4,4,-1,1536,8,32,-1,3,180,68,2667,4,-1,-1,-1
on,AMD Ryzen™ Threadripper™ 1920X,12,24,-1,3.5,4,-1,1152,6,32,-1,3,180,68,2667,4,-1,-1,-1
on,AMD Ryzen™ Threadripper™ 1900X,8,16,-1,3.8,4,-1,768,4,16,-1,3,180,68,2667,4,-1,-1,-1
on,AMD Ryzen™ 5 PRO 6650HS,6,12,6,3.3,4.5,-1,384,3,16,-1,4,35,95,-1,2,-1,1900,-1
on,AMD Ryzen™ 7 1800X,8,16,-1,3.6,4,-1,768,4,16,-1,3,95,95,2667,2,-1,-1,-1
on,AMD Ryzen™ 5 PRO 5645,6,12,-1,3.7,4.6,-1,768,3,32,-1,4,65,95,3200,2,-1,-1,-1
on,AMD Ryzen™ 5 PRO 5650G,6,12,7,3.9,4.4,-1,-1,3,16,-1,3,65,95,3200,2,-1,1900,-1
on,AMD Ryzen™ 5 PRO 5650GE,6,12,7,3.4,4.4,-1,-1,3,16,-1,3,35,95,3200,2,-1,1900,-1
on,AMD Ryzen™ 5 PRO 6650U,6,12,6,2.9,4.5,-1,384,3,16,-1,4,-1,95,-1,2,-1,1900,-1
on,AMD Ryzen™ 7 1700X,8,16,-1,3.4,3.8,-1,768,4,16,-1,3,95,95,2667,2,-1,-1,-1
on,AMD Ryzen™ 9 PRO 3900,12,24,-1,3.1,4.3,-1,768,6,64,-1,4,65,95,3200,2,-1,-1,-1
on,AMD Ryzen™ 7 PRO 3700,8,16,-1,3.6,4.4,-1,512,4,32,-1,4,65,95,3200,2,-1,-1,-1
on,AMD Ryzen™ 5 PRO 4655G,6,12,7,3.7,4.2,-1,384,3,8,-1,3,65,95,3200,2,-1,1900,-1
on,AMD Ryzen™ 7 1700 Processor,8,16,-1,3,3.7,-1,768,4,16,-1,3,65,95,2667,2,-1,-1,-1
on,AMD Ryzen™ 7 PRO 5875U,8,16,8,2,4.5,-1,512,4,16,-1,3,15,95,-1,2,-1,2000,-1
on,AMD Ryzen™ 7 PRO 5845,8,16,-1,3.4,4.6,-1,512,4,32,-1,4,65,95,3200,2,-1,-1,-1
on,AMD Ryzen™ 7 PRO 5850U,8,16,8,1.9,4.4,-1,-1,4,16,-1,3,15,105,3200/4266,-1,-1,2000,-1
on,AMD Ryzen™ 5 PRO 5675U,6,12,7,2.3,4.3,-1,384,3,16,-1,3,15,95,-1,2,-1,1800,-1
on,AMD Ryzen™ 5 PRO 5650U,6,12,7,2.3,4.2,-1,-1,3,16,-1,3,15,105,3200/4266,-1,-1,1800,-1
on,AMD Ryzen™ 7 PRO 5750G,8,16,8,3.8,4.6,-1,-1,4,16,-1,3,65,95,3200,2,-1,2000,-1
on,AMD Ryzen™ 3 PRO 5475U,4,8,6,2.7,4.1,-1,256,2,8,-1,3,15,95,-1,2,-1,1600,-1
on,AMD Ryzen™ 3 PRO 5450U,4,8,6,2.6,4,-1,-1,2,8,-1,3,15,105,3200/4266,-1,-1,1600,-1
on,AMD Ryzen™ 7 PRO 5750GE,8,16,8,3.2,4.6,-1,-1,4,16,-1,3,35,95,3200,2,-1,2000,-1
on,AMD Ryzen™ 3 PRO 5350G,4,8,6,4,4.2,-1,-1,2,8,-1,3,65,95,3200,2,-1,1700,-1
on,AMD Ryzen™ 7 PRO 4750G,8,16,8,3.6,4.4,-1,512,4,8,-1,3,65,95,3200,2,-1,2100,-1
on,AMD Ryzen™ 5 1600X,6,12,-1,3.6,4,-1,576,3,16,-1,3,95,95,2667,2,-1,-1,-1
on,AMD Ryzen™ 3 PRO 5350GE,4,8,6,3.6,4.2,-1,-1,2,8,-1,3,35,95,3200,2,-1,1700,-1
on,AMD Ryzen™ 5 PRO 4655GE,6,12,7,3.3,4.2,-1,384,3,8,-1,3,35,95,3200,2,-1,1900,-1
on,AMD Ryzen™ 7 PRO 4750GE,8,16,8,3.1,4.3,-1,512,4,8,-1,3,35,95,3200,2,-1,2100,-1
on,AMD Ryzen™ 5 PRO 3600,6,12,-1,3.6,4.2,-1,384,3,32,-1,4,65,95,3200,2,-1,-1,-1
on,AMD Ryzen™ 5 PRO 4650G,6,12,7,3.7,4.2,-1,384,3,8,-1,3,65,95,3200,2,-1,1900,-1
on,AMD Ryzen™ 3 PRO 4355G,4,8,6,3.8,4,-1,256,2,4,-1,3,65,95,3200,2,-1,1700,-1
on,AMD Ryzen™ 5 PRO 4650GE,6,12,7,3.3,4.2,-1,384,3,8,-1,3,35,95,3200,2,-1,1900,-1
on,AMD Ryzen™ 3 PRO 4355GE,4,8,6,3.5,4,-1,256,2,4,-1,3,35,95,3200,2,-1,1700,-1
on,AMD Ryzen™ 3 PRO 4350G,4,8,6,3.8,4,-1,256,2,4,-1,3,65,95,3200,2,-1,1700,-1
on,AMD Ryzen™ 3 PRO 4350GE,4,8,6,3.5,4,-1,256,2,4,-1,3,35,95,3200,2,-1,1700,-1
on,AMD Ryzen™ 5 1600,6,12,-1,3.2,3.6,-1,576,3,16,-1,3,65,95,2667,2,-1,-1,-1
on,AMD Ryzen™ 5 1600 (AF),6,12,-1,3.2,3.6,-1,576,3,16,-1,3,65,95,2667,2,-1,-1,-1
on,AMD Ryzen™ 5 PRO 3400G,4,8,11,3.7,4.2,-1,384,2,4,-1,3,65,95,2933,2,-1,1400,-1
on,AMD Ryzen™ 5 PRO 3400GE,4,8,11,3.3,4,-1,384,2,4,-1,3,35,95,2933,2,-1,1300,-1
on,AMD Ryzen™ 5 1500X,4,8,-1,3.5,3.7,-1,384,2,16,-1,3,65,95,2667,2,-1,-1,-1
on,AMD Ryzen™ 5 PRO 3350G,4,8,10,3.6,4,-1,384,2,4,-1,3,65,95,2933,2,-1,1300,-1
on,AMD Ryzen™ 5 PRO 3350GE,4,4,10,3.3,3.9,-1,384,2,4,-1,3,35,95,2933,2,-1,1200,-1
on,AMD Ryzen™ 3 PRO 3200G,4,4,8,3.6,4,-1,384,2,4,-1,3,65,95,2933,2,-1,1250,-1
on,AMD Ryzen™ 5 1400,4,8,-1,3.2,3.4,-1,384,2,8,-1,3,65,95,2667,2,-1,-1,-1
on,AMD Ryzen™ 3 PRO 3200GE,4,4,8,3.3,3.8,-1,384,2,4,-1,3,35,95,2933,2,-1,1200,-1
on,AMD Ryzen™ 3 1300X,4,4,-1,3.5,3.7,-1,384,2,8,-1,3,65,95,2667,2,-1,-1,-1
on,AMD Athlon™ Gold PRO 3150G,4,4,3,3.5,3.9,-1,384,2,4,-1,3,65,95,2933,2,-1,1100,-1
on,AMD Athlon™ Gold PRO 3150GE,4,4,3,3.3,3.8,-1,384,2,4,-1,3,35,95,2933,2,-1,1100,-1
on,AMD Athlon™ Silver PRO 3125GE,2,4,3,3.4,3.4,-1,192,1,4,-1,3,35,95,2667,2,-1,1100,-1
on,AMD Athlon™ PRO 300GE,2,4,3,3.4,-1,-1,192,1,4,-1,3,35,95,2667,2,-1,1100,-1
on,AMD Ryzen™ 3 1200,4,4,-1,3.1,3.4,-1,384,2,8,-1,3,65,95,2667,2,-1,-1,-1
on,AMD Ryzen™ 7 PRO 2700X,8,16,-1,3.6,4.1,-1,768,4,16,-1,3,95,95,2933,2,-1,-1,-1
on,AMD Ryzen™ 7 PRO 4750U,8,16,7,1.7,4.1,-1,-1,4,8,-1,3,15,105,-1,-1,-1,1600,-1
on,AMD Ryzen™ 7 PRO 2700,8,16,-1,3.2,4.1,-1,768,4,16,-1,3,65,95,2933,2,-1,-1,-1
on,AMD Ryzen™ 5 PRO 4650U,6,12,6,2.1,4,-1,-1,3,8,-1,3,15,105,-1,-1,-1,1500,-1
on,AMD Ryzen™ 3 PRO 4450U,4,8,5,2.5,3.7,-1,-1,2,4,-1,3,15,105,-1,-1,-1,1400,-1
on,AMD Ryzen™ 7 PRO 1700X Processor,8,16,-1,3.4,3.8,-1,-1,4,16,-1,3,95,95,2667,2,-1,-1,-1
on,AMD Ryzen™ 7 PRO 3700U,4,8,10,2.3,4,-1,384,2,4,-1,3,15,95,2400,2,-1,1400,-1
on,AMD Ryzen™ 5 PRO 3500U,4,8,8,2.1,3.7,-1,384,2,4,-1,3,15,95,2400,2,-1,1200,-1
on,AMD Ryzen™ 7 PRO 1700,8,16,-1,3,3.7,-1,768,4,16,-1,3,65,95,2667,2,-1,-1,-1
on,AMD Ryzen™ 5 PRO 2600,6,12,-1,3.4,3.9,-1,576,3,16,-1,3,65,95,2933,2,-1,-1,-1
on,AMD Athlon™ PRO 3145B,2,4,3,2.4,3.3,-1,196608,1,4,-1,3,15,100,2400,2,-1,1000,-1
on,AMD Ryzen™ 5 PRO 1600,6,12,-1,3.2,3.6,-1,576,3,16,-1,3,65,95,2667,2,-1,-1,-1
on,AMD Athlon™ PRO 3045B,2,2,2,2.3,3.2,-1,192,1,4,-1,3,15,100,2400,2,-1,1100,-1
on,AMD Ryzen™ 3 PRO 3300U,4,4,6,2.1,3.5,-1,384,2,4,-1,3,15,95,2400,2,-1,1200,-1
on,AMD Athlon™ PRO 300U Mobile Processor with Radeon™ Vega 3 Graphics,2,4,3,2.4,3.3,-1,384,1,4,-1,3,15,95,2400,2,-1,1000,-1
on,AMD Ryzen™ 5 PRO 1500,4,8,-1,3.5,3.7,-1,384,2,16,-1,3,65,95,2667,2,-1,-1,-1
on,AMD Ryzen™ 7 PRO 2700U,4,8,10,2.2,3.8,-1,384,2,4,-1,3,15,95,2400,2,-1,1300,-1
on,AMD Ryzen™ 5 PRO 2400G with Radeon™ Vega 11 Graphics,4,8,11,3.6,3.9,-1,384,2,4,-1,3,65,95,2933,2,-1,1250,-1
on,AMD Ryzen™ 5 PRO 2400GE with Radeon™ Vega 11 Graphics,4,8,11,3.2,3.8,-1,384,2,4,-1, 3.0 x8,35,95,2933,2,-1,1250,-1
on,AMD Ryzen™ 3 PRO 1300,4,4,-1,3.5,3.7,-1,384,2,8,-1,3,65,95,2667,2,-1,-1,-1
on,AMD Ryzen™ 5 PRO 2500U,4,8,8,2,3.6,-1,384,2,4,-1,3,15,95,2400,2,-1,1100,-1
on,AMD Ryzen™ 3 PRO 2200G with Radeon™ Vega 8 Graphics,4,4,8,3.5,3.7,-1,384,2,4,-1,3,65,95,2933,2,-1,1100,-1
on,AMD Ryzen™ 3 PRO 2200GE with Radeon™ Vega 8 Graphics,4,4,8,3.2,3.6,-1,384,2,4,-1, 3.0 x8,35,95,2933,2,-1,1100,-1
on,AMD Ryzen™ 3 PRO 1200,4,4,-1,3.1,3.4,-1,384,2,8,-1,3,65,95,2667,2,-1,-1,-1
on,AMD Ryzen™ 3 PRO 2300U,4,4,6,2,3.4,-1,384,2,4,-1,3,15,95,2400,2,-1,1100,-1
on,7th Gen AMD PRO A4-5350B APU,2,-1,3,3,3.6,-1,-1,1,-1,-1,3,15,90,2133,1,-1,-1,847
on,7th Gen AMD PRO A4-4350B APU,2,-1,3,2.5,2.9,-1,-1,1,-1,-1,3,15,90,2133,1,-1,-1,655
on,7th Gen AMD PRO A6-8350B APU,2,-1,3,3.1,3.7,-1,-1,1,-1,-1,3,15,90,2133,1,-1,-1,900
on,7th Gen AMD PRO A6-7350B APU,2,-1,3,3,3.6,-1,-1,1,-1,-1,3,15,90,2133,1,-1,-1,847
on,7th Gen A12-9800 APU,4,-1,8,3.8,4.2,-1,-1,2,-1,-1, 3.0 x8,65,90,2400,2,-1,1108,-1
on,7th Gen A12-9800E APU,4,-1,8,3.1,3.8,-1,-1,2,-1,-1, 3.0 x8,35,90,2400,2,-1,900,-1
on,7th Gen A10-9700 APU,4,-1,6,3.5,3.8,-1,-1,2,-1,-1, 3.0 x8,65,90,2400,2,-1,1029,-1
on,7th Gen A10-9700E APU,4,-1,6,3,3.5,-1,-1,2,-1,-1, 3.0 x8,35,90,2400,3,-1,847,-1
on,7th Gen A8-9600 APU,4,-1,6,3.1,3.4,-1,-1,2,-1,-1, 3.0 x8,65,90,2400,2,-1,900,-1
on,7th Gen A6-9550 APU,2,-1,6,3.8,4,-1,-1,1,-1,-1, 3.0 x8,65,90,2400,2,-1,1029,-1
on,7th Gen A6-9500 APU,2,-1,6,3.5,3.8,-1,-1,1,-1,-1, 3.0 x8,65,90,2400,2,-1,1029,-1
on,7th Gen A6-9500E APU,2,-1,4,3,3.4,-1,-1,1,-1,-1, 3.0 x8,35,90,2400,2,-1,800,-1
on,7th Gen A12-9730P APU,4,-1,6,2.8,3.5,-1,-1,2,-1,-1,-1,35,90,2400,2,-1,900,-1
on,7th Gen A12-9700P APU,4,-1,6,2.5,3.4,-1,-1,2,-1,-1,-1,15,90,1866,2,-1,758,-1
on,7th Gen A10-9630P APU,4,-1,6,2.6,3.3,-1,-1,2,-1,-1,-1,35,90,2400,2,-1,800,-1
on,7th Gen A10-9600P APU,4,-1,6,2.4,3.3,-1,-1,2,-1,-1,-1,15,90,1866,2,-1,720,-1
on,7th Gen A9-9425 APU,2,-1,3,3.1,3.7,-1,-1,1,-1,-1,3,15,90,2133,1,-1,900,-1
on,7th Gen A9-9420 APU,2,-1,3,3,3.6,-1,-1,1,-1,-1,3,15,90,2133,-1,-1,847,-1
on,7th Gen A9-9410 APU,2,-1,3,2.9,3.5,-1,-1,1,-1,-1,-1,25,90,2133,1,-1,800,-1
on,7th Gen A6-9225 APU,2,-1,3,2.6,3.1,-1,-1,1,-1,-1,3,15,90,2133,1,-1,686,-1
on,7th Gen A6-9220 APU,2,-1,3,2.5,2.9,-1,-1,1,-1,-1,3,15,90,2133,-1,-1,655,-1
on,AMD EPYC™ 9654P,96,192,-1,2.4,3.7,3.55,-1,-1,384,10625, 5.0 x128,360,-1,4800,12,460.80 GB/s,-1,-1
on,7th Gen A6-9220C APU,2,2,3,1.8,2.7,-1,160,1,-1,-1,-1,6,90,1866,1,-1,720,-1
on,AMD EPYC™ 9654,96,192,-1,2.4,3.7,3.55,-1,-1,384,11805, 5.0 x128,360,-1,4800,12,460.80 GB/s,-1,-1
on,7th Gen A6-9210 APU,2,-1,3,2.4,2.8,-1,-1,1,-1,-1,-1,15,90,2133,1,-1,600,-1
on,AMD EPYC™ 9634,84,168,-1,2.25,3.7,3.1,-1,-1,384,10304, 5.0 x128,290,-1,4800,12,460.80 GB/s,-1,-1
on,7th Gen A4-9125 APU,2,-1,2,2.3,2.6,-1,-1,1,-1,-1,3,15,90,2133,1,-1,686,-1
on,7th Gen A4-9120 APU,2,-1,2,2.2,2.5,-1,-1,1,-1,-1,3,15,90,2133,-1,-1,655,-1
on,7th Gen A4-9120C APU,2,2,3,1.6,2.4,-1,160,1,-1,-1,-1,6,90,1866,1,-1,600,-1
on,7th Gen AMD PRO A12-9800 APU,4,-1,8,3.8,4.2,-1,-1,2,-1,-1,3,65,90,2400,2,-1,1108,-1
on,7th Gen AMD PRO A12-9800E APU,4,-1,8,3.1,3.8,-1,-1,2,-1,-1,3,35,90,2400,2,-1,900,-1
on,7th Gen AMD PRO A10-9700 APU,4,-1,6,3.5,3.8,-1,-1,2,-1,-1,3,65,90,2400,2,-1,1029,-1
on,7th Gen AMD PRO A10-9700E APU,4,-1,6,3,3.5,-1,-1,2,-1,-1,3,35,90,2400,2,-1,847,-1
on,7th Gen AMD PRO A8-9600 APU,4,-1,6,3.1,3.4,-1,-1,2,-1,-1,3,65,90,2400,2,-1,900,-1
on,7th Gen AMD PRO A6-9500 APU,2,-1,6,3.5,3.8,-1,-1,1,-1,-1,3,65,90,2400,2,-1,1029,-1
on,7th Gen AMD PRO A6-9500E APU,2,-1,4,3,3.4,-1,-1,1,-1,-1,3,35,90,2400,2,-1,800,-1
on,7th Gen AMD PRO A12-9830B APU,4,-1,8,3,3.7,-1,-1,2,-1,-1,-1,35,90,2400,2,-1,900,-1
on,7th Gen AMD PRO A12-9800B APU,4,-1,8,2.7,3.6,-1,-1,2,-1,-1,-1,15,90,1866,2,-1,758,-1
on,7th Gen AMD PRO A10-9730B APU,4,-1,6,2.8,3.5,-1,-1,2,-1,-1,-1,35,90,2400,2,-1,900,-1
on,7th Gen AMD PRO A10-9700B APU,4,-1,6,2.5,3.4,-1,-1,2,-1,-1,-1,15,90,1866,2,-1,758,-1
on,7th Gen AMD PRO A8-9630B,4,-1,6,2.6,3.3,-1,-1,2,-1,-1,-1,35,90,2400,2,-1,800,-1
on,7th Gen AMD PRO A8-9600B APU,4,-1,6,2.4,3.3,-1,-1,2,-1,-1,-1,15,90,1866,2,-1,720,-1
on,7th Gen AMD PRO A6-9500B APU,2,-1,4,2.3,3.2,-1,-1,1,-1,-1,-1,15,90,1866,2,-1,800,-1
on,7th Gen FX™ 9830P APU,4,-1,8,3,3.7,-1,-1,2,-1,-1,-1,35,90,2400,2,-1,900,-1
on,7th Gen FX™ 9800P APU,4,-1,8,2.7,3.6,-1,-1,2,-1,-1,-1,15,90,1866,2,-1,758,-1
on,7th Gen E2-9010 APU,2,-1,2,200,2.2,-1,-1,1,-1,-1, 3.0 x8,15,90,186,-1,-1,600,-1
on,AMD EPYC™ 9554P,64,128,-1,3.1,3.75,3.75,-1,-1,256,7104, 5.0 x128,360,-1,4800,12,460.80 GB/s,-1,-1
on,AMD EPYC™ 9554,64,128,-1,3.1,3.75,3.75,-1,-1,256,9087, 5.0 x128,360,-1,4800,12,460.80 GB/s,-1,-1
on,6th Gen A10-8700P APU,4,4,6,1.8,3.2,-1,-1,2,-1,-1,-1,15,90,2133,2,-1,800,-1
on,AMD EPYC™ 9534,64,128,-1,2.45,3.7,3.55,-1,-1,256,8803, 5.0 x128,280,-1,4800,12,460.80 GB/s,-1,-1
on,6th Gen A8-8600P APU,4,4,6,1.6,3,-1,-1,2,-1,-1,-1,15,90,2133,2,-1,720,-1
on,AMD EPYC™ 9474F,48,96,-1,3.6,4.1,3.95,-1,-1,256,6780, 5.0 x128,360,-1,4800,12,460.80 GB/s,-1,-1
on,6th Gen AMD PRO A12-8870 APU,4,-1,8,3.7,4.2,-1,-1,2,-1,-1,3,65,-1,2400,2,-1,1108,-1
