-1,Model,# of CPU Cores,# of Threads,Graphics Core Count,Base Clock(GHz),Max. Boost Clock (GHz),All Core Boost Speed (GHz),L1 Cache (KB),L2 Cache(MB),L3 Cache(MB),1kU Pricing(USD),PCI Express® Version,Default TDP(W),Max. Operating Temperature (Tjmax(°C)),System Memory Specification(MHz),Memory Channels,Memory Channels,Graphics Frequency(MHz),GPU Base(MHz)
on,FX 6100,6,6,-1,3.3,3.9,-1,288,6,8,-1,n/a,95,70,1866,-1,-1,-1,-1
on,FX-4350,4,4,-1,4.2,4.3,-1,192,4,8,-1,n/a,125,61.1,1866,-1,-1,-1,-1
on,FX-4320,4,4,-1,4,4.1,-1,192,4,4,-1,Not Listed,95,70.5,1866,-1,-1,-1,-1
on,FX-4300,4,4,-1,3.8,4,-1,192,4,4,-1,n/a,95,70.5,1866,-1,-1,-1,-1
on,FX-4170,4,4,-1,4.2,4.3,-1,192,4,8,-1,n/a,125,61.1,-1,-1,-1,-1,-1
on,FX-4130,4,4,-1,3.8,3.9,-1,192,4,4,-1,n/a,125,70,1866,-1,-1,-1,-1
on,FX-4100,4,4,-1,3.6,3.8,-1,192,4,8,-1,n/a,95,70.5,1866,-1,-1,-1,-1
on,1075T,6,6,-1,3.5,-1,-1,768,3,6,-1,n/a,95,-1,-1,-1,-1,-1,-1
on,1045T,-1,-1,-1,2.7,3.2,-1,768,3,6,-1,n/a,95,71,-1,-1,-1,-1,-1
on,A6-8500P with Radeon™ R5 Graphics,2,2,4,1.6,3,-1,-1,1,-1,-1,-1,15,90,-1,2,-1,800,-1
on,980,4,4,-1,3.7,-1,-1,512,2,6,-1,n/a,125,-1,-1,-1,-1,-1,-1
on,A6-7310 with Radeon™ R4 Graphics,4,4,-1,2,2.4,-1,-1,2,-1,-1,-1,15,90,1866,1,-1,800,-1
on,A6-7310 with Radeon™ R4 Graphics,4,4,-1,2,2.4,-1,-1,2,-1,-1,-1,15,90,1866,1,-1,800,-1
on,975,4,4,-1,3.6,-1,-1,512,2,6,-1,n/a,125,62,-1,-1,-1,-1,-1
on,A6-7000 with Radeon™ R4 Graphics,2,2,3,2.2,3,-1,-1,1,-1,-1,-1,17,-1,-1,2,-1,533,-1
on,965,4,4,-1,3.4,-1,-1,-1,2,-1,-1,n/a,80,-1,-1,-1,-1,-1,-1
on,960T,4,4,-1,3,3.4,-1,512,512,-1,-1,n/a,95,71,-1,-1,-1,-1,-1
on,A6-6310 with Radeon™ R4 Graphics,4,4,-1,2.4,-1,-1,-1,2,-1,-1,-1,15,-1,1865,1,-1,-1,-1
on,850,4,4,-1,3.3,-1,-1,512,2,-1,-1,n/a,95,-1,-1,-1,-1,-1,-1
on,840,4,4,-1,3.2,-1,-1,512,2,-1,-1,n/a,95,71,-1,-1,-1,-1,-1
on,A6-5350M with Radeon™ HD 8450G,2,2,-1,2.9,3.5,-1,-1,2,-1,-1,-1,35,-1,1600,2,-1,533,-1
on,570,2,2,-1,4,-1,-1,-1,-1,6,-1,n/a,80,-1,-1,-1,-1,-1,-1
on,565,2,2,-1,3.4,-1,-1,0,1,-1,-1,-1,80,-1,-1,-1,-1,-1,-1
on,A6-5200M with Radeon™ HD 8400,4,4,-1,2,-1,-1,-1,2,-1,-1,-1,25,-1,-1,1,-1,-1,-1
on,555,2,2,-1,3.2,-1,-1,-1,1,-1,-1,n/a,80,-1,-1,-1,-1,-1,-1
on,565,2,2,-1,3.4,-1,-1,256,1,6,-1,n/a,80,70,-1,-1,-1,-1,-1
on,X940,4,4,-1,2.4,-1,-1,512,2,-1,-1,n/a,45,100,-1,-1,-1,-1,-1
on,N970,4,4,-1,2.2,-1,-1,512,2,-1,-1,n/a,35,100,-1,-1,-1,-1,-1
on,N960,4,4,-1,1.8,-1,-1,512,2,-1,-1,n/a,35,100,-1,-1,-1,-1,-1
on,N870,3,3,-1,2.3,-1,-1,384,1.5,-1,-1,n/a,35,100,-1,-1,-1,-1,-1
on,P860,3,3,-1,2,-1,-1,384,1.5,-1,-1,n/a,35,100,-1,-1,-1,-1,-1
on,N660,2,2,-1,3,-1,-1,256,2,-1,-1,n/a,35,100,-1,-1,-1,-1,-1
on,A4-7210 with Radeon™ R3 Graphics,4,4,-1,1.8,2.2,-1,-1,2,-1,-1,-1,65,90,1600,1,-1,686,-1
on,A4 Micro-6400T with Radeon™ R3 Graphics,4,4,-1,1.6,-1,-1,-1,2,-1,-1,-1,4.5,-1,1333,1,-1,-1,-1
on,P650,2,2,-1,2.6,-1,-1,256,2,-1,-1,n/a,35,100,-1,-1,-1,-1,-1
on,A4-6210 with Radeon™ R3 Graphics,4,4,-1,1.8,-1,-1,-1,2,-1,-1,-1,15,-1,1599,1,-1,-1,-1
on,N640,2,2,-1,2.8,-1,-1,256,2,-1,-1,n/a,35,100,-1,-1,-1,-1,-1
on,B99,4,4,-1,3.3,-1,-1,-1,2,-1,-1,n/a,95,-1,-1,-1,-1,-1,-1
on,B97,4,4,-1,3.2,-1,-1,-1,2,-1,-1,n/a,95,-1,-1,-1,-1,-1,-1
on,B95,-1,-1,-1,3,-1,-1,-1,2,-1,-1,n/a,95,-1,-1,-1,-1,-1,-1
on,A4-5100 with Radeon™ HD 8330,4,4,-1,1.55,-1,-1,-1,2,-1,-1,-1,15,-1,-1,1,-1,-1,-1
on,A4-5000 with Radeon™ HD 8330,4,4,-1,1.5,-1,-1,-1,2,-1,-1,-1,15,-1,-1,1,-1,-1,-1
on,B77,3,3,-1,3.2,-1,-1,-1,1.5,-1,-1,n/a,95,-1,-1,-1,-1,-1,-1
on,B75,3,3,-1,3,-1,-1,-1,1.5,-1,-1,n/a,95,-1,-1,-1,-1,-1,-1
on,B60,2,2,-1,3.5,-1,-1,-1,1,-1,-1,n/a,80,-1,-1,-1,-1,-1,-1
on,B59,2,2,-1,3.4,-1,-1,-1,1,-1,-1,n/a,80,-1,-1,-1,-1,-1,-1
on,B57,2,2,-1,3.2,-1,-1,-1,1,-1,-1,n/a,80,-1,-1,-1,-1,-1,-1
on,641,4,4,-1,2.8,-1,-1,512,4,-1,-1,Not Listed,100,70.1,-1,-1,-1,-1,-1
on,638,4,4,-1,2.7,-1,-1,512,4,-1,-1,Not Listed,65,70.1,-1,-1,-1,-1,-1
on,631,4,4,-1,2.6,-1,-1,-1,4,-1,-1,Not Listed,65,-1,-1,-1,-1,-1,-1
on,631,4,4,-1,2.6,-1,-1,-1,4,-1,-1,Not Listed,100,70.1,-1,-1,-1,-1,-1
on,620e,4,4,-1,2.7,-1,-1,-1,-1,-1,-1,Not Listed,45,-1,-1,-1,-1,-1,-1
on,460,3,3,-1,3.4,-1,-1,384,1.5,-1,-1,Not Listed,95,75,-1,-1,-1,-1,-1
on,425e,3,3,-1,2.7,-1,-1,384,1.5,-1,-1,Not Listed,45,-1,-1,-1,-1,-1,-1
on,255e,2,2,-1,3.1,-1,-1,256,2,-1,-1,Not Listed,45,72,-1,-1,-1,-1,-1
on,A10-8700P with Radeon™ R6 Graphics,4,4,6,1.8,3.2,-1,-1,2,-1,-1,-1,-1,90,2133,2,-1,800,-1
on,7th Gen AMD Athlon™ X4 970,4,4,-1,3.8,4,-1,-1,2,-1,-1,3,65,-1,2400,-1,-1,-1,-1
on,A8-8600P with Radeon™ R6 Graphics,4,4,6,1.6,3,-1,-1,2,-1,-1,-1,-1,90,2133,2,-1,720,-1
on,7th Gen AMD Athlon™ X4 950,4,4,-1,3.5,3.8,-1,-1,2,-1,-1,3,-1,-1,2400,-1,-1,-1,-1
on,A8-6410 with Radeon™ R5 Graphics,4,4,-1,2.2,2.5,-1,-1,2,-1,-1,-1,-1,90,1866,1,-1,847,-1
on,7th Gen AMD Athlon™ X4 940,4,4,-1,3.2,3.6,-1,-1,2,-1,-1,3,-1,-1,2400,-1,-1,-1,-1
on,A6-8500P with Radeon™ R5 Graphics,2,2,4,1.6,3,-1,-1,1,-1,-1,-1,-1,90,-1,2,-1,800,-1
on,A6-7310 with Radeon™ R4 Graphics,4,4,-1,2,2.4,-1,-1,2,-1,-1,-1,-1,90,1866,1,-1,800,-1
on,880K with Near Silent Thermal Solution,4,-1,-1,4,4.2,-1,256,4,-1,-1,-1,95,72.4,2133,2,-1,-1,-1
on,A4-7210 with Radeon™ R3 Graphics,4,4,-1,1.8,2.2,-1,-1,2,-1,-1,-1,65,90,1600,1,-1,686,-1
on,870K with Near Silent Thermal Solution,4,4,-1,3.9,4.1,-1,128,4,-1,-1,3,95,72.4,2133,2,-1,-1,-1
on,860K,4,4,-1,3.7,4,-1,128,4,-1,-1,3,95,72.4,2133,2,-1,-1,-1
on,A10-6800B with Radeon™ HD 8670D,4,4,-1,4.1,4.4,-1,192,4,-1,-1,-1,45,74,2133,2,-1,844,-1
on,860K with Near Silent Thermal Solution,4,4,-1,3.7,4,-1,128,4,-1,-1,3,95,72.4,2133,2,-1,-1,-1
on,A10-6790B with Radeon™ HD 8670D,4,4,-1,4,4.3,-1,192,4,-1,-1,-1,45,74,1866,2,-1,844,-1
on,845 with Near Silent Thermal Solution,4,4,-1,3.5,3.8,-1,-1,2,-1,-1,3,-1,71.3,2133,2,-1,-1,-1
on,A8-6500B with Radeon™ HD 8570D,4,4,-1,3.5,4.1,-1,192,4,-1,-1,-1,65,71.3,1866,2,-1,800,-1
on,760K,4,4,-1,3.8,4.1,-1,-1,4,-1,-1,Not Listed,100,-1,-1,-1,-1,-1,-1
on,750,4,-1,-1,3.4,4,-1,192,4,-1,-1,n/a,65,71.3,1866,2,-1,-1,-1
on,A6-6420B with Radeon™ HD 8470D,2,2,-1,4,4.2,-1,96,1,-1,-1,-1,65,70,1866,2,-1,800,-1
on,750K,4,4,-1,3.4,4,-1,-1,4,-1,-1,Not Listed,100,-1,-1,-1,-1,-1,-1
on,740,4,4,-1,3.2,3.7,-1,-1,4,-1,-1,Not Listed,65,-1,-1,-1,-1,-1,-1
on,A6-6400B with Radeon™ HD 8470D,2,2,-1,3.9,4.1,-1,96,1,-1,-1,-1,65,70,1866,2,-1,800,-1
on,2800+,-1,-1,-1,56,-1,-1,-1,-1,-1,-1,n/a,45,70,-1,-1,-1,-1,-1
on,X1150,4,4,-1,2,-1,-1,-1,2,-1,-1,n/a,17,70,800,-1,-1,-1,-1
on,6386 SE,16,16,-1,2.8,3.5,-1,48,16,16,-1,n/a,140,64.4,2000,-1,-1,-1,-1
on,6380,16,16,-1,2.5,3.4,-1,768,16,16,-1,n/a,115,69,2000,-1,-1,-1,-1
on,A10 PRO-7850B with Radeon™ R7 Graphics,4,4,8,3.7,4,-1,256,4,-1,-1,-1,95,72.4,2133,2,-1,720,-1
on,6378,16,16,-1,2.4,3.3,-1,768,16,16,-1,n/a,115,69,2000,-1,-1,-1,-1
on,6376,16,16,-1,2.3,2,-1,768,16,16,-1,n/a,115,69,2000,-1,-1,-1,-1
on,A10 PRO-7800B with Radeon™ R7 Graphics,4,4,8,3.5,3.9,-1,256,4,-1,-1,-1,65,71.3,2133,2,-1,720,-1
on,A8 PRO-7600B with Radeon™ R7 Graphics,4,4,6,3.1,3.8,-1,-1,4,-1,-1,-1,65,71.3,2133,2,-1,720,-1
on,6370P,16,16,-1,2,2.5,-1,48,16,16,-1,n/a,99,69,2000,-1,-1,-1,-1
on,A6 PRO-7400B with Radeon™ R5 Graphics,2,2,4,3.5,3.9,-1,-1,1,-1,-1,-1,65,70,1866,2,-1,756,-1
on,6366 HE,16,16,-1,1.8,3.1,-1,768,16,16,-1,n/a,85,65,1800,-1,-1,-1,-1
on,A4 PRO-7350B with Radeon™ R5 Graphics,2,2,3,3.4,3.8,-1,-1,1,-1,-1,-1,65,70,1866,2,-1,514,-1
on,6348,12,12,-1,2.8,3.4,-1,576,12,16,-1,n/a,115,70.4,2000,-1,-1,-1,-1
on,A4 PRO-7300B with Radeon™ HD 8470D,2,2,-1,3.8,4,-1,96,1,-1,-1,-1,65,70,1600,2,-1,800,-1
on,6344,12,12,-1,2.6,2,-1,576,12,16,-1,n/a,115,70.4,2000,-1,-1,-1,-1
on,A10 PRO-7350B with Radeon™ R6 Graphics,4,4,6,2.1,3.3,-1,-1,4,-1,-1,-1,19,-1,1600,2,-1,553,-1
on,6338P,12,12,-1,2.3,2.8,-1,48,12,16,-1,n/a,99,69,2000,-1,-1,-1,-1
on,6328,8,8,-1,3.2,3.8,-1,384,8,16,-1,n/a,115,71.7,2000,-1,-1,-1,-1
on,A8 PRO-7150B with Radeon™ R5 Graphics,4,4,6,1.9,3.2,-1,-1,4,-1,-1,-1,100,-1,1600,2,-1,533,-1
on,6320,8,8,-1,2.8,3.3,-1,384,8,16,-1,n/a,115,71.7,2000,-1,-1,-1,-1
on,A6 PRO-7050B with Radeon™ R4 Graphics,2,2,3,2.2,3,-1,-1,1,-1,-1,-1,100,-1,1600,2,-1,533,-1
on,6308,4,4,-1,3.5,-1,-1,192,4,16,-1,n/a,115,74.4,2000,-1,-1,-1,-1
on,A4 PRO-3350B with Radeon™ R4 Graphics,4,4,2,2,2.4,-1,-1,2,-1,-1,-1,15,90,1600,1,-1,800,-1
on,A4 PRO-3340B with Radeon™ HD 8240 Graphics,4,4,2,2.2,-1,-1,-1,2,-1,-1,-1,25,-1,1600,1,-1,400,-1
on,6284 SE,16,16,-1,2.7,3.4,-1,768,16,16,-1,n/a,140,64.4,2000,-1,-1,-1,-1
on,6282 SE,16,16,-1,2.6,3.3,-1,768,16,16,-1,n/a,140,64.4,2000,-1,-1,-1,-1
on,FX-7600P with Radeon™ R7 Graphics,4,4,8,2.7,3.6,-1,-1,4,-1,-1,-1,35,-1,2133,2,-1,686,-1
on,AMD Athlon™ 3000G,2,4,3,3.5,-1,-1,192,1,4,-1,3,35,95,2667,2,-1,1100,-1
on,FX-7500 with Radeon™ R7 Graphics,4,4,6,2.1,3.3,-1,-1,4,-1,-1,-1,20,-1,1600,2,-1,553,-1
on,AMD Athlon™ 240GE,2,4,3,3.5,-1,-1,192,1,4,-1,3,35,95,2667,2,-1,1000,-1
on,6278,16,16,-1,2.4,3.3,-1,768,16,16,-1,n/a,115,69,2000,-1,-1,-1,-1
on,6276,16,16,-1,2.3,3.2,-1,768,16,16,-1,n/a,115,69,2000,-1,-1,-1,-1
on,AMD Athlon™ 220GE,2,4,3,3.4,-1,-1,192,1,4,-1,3,35,95,2667,2,-1,1000,-1
on,FX-8800P with Radeon™ R7 Graphics,4,4,8,2.1,3.4,-1,-1,2,-1,-1,-1,-1,90,2133,2,-1,800,-1
on,AMD Athlon™ 200GE,2,4,3,3.2,-1,-1,192,1,4,-1,3,35,95,2667,2,-1,1000,-1
on,Athlon™ 5370 APU with Radeon™ R3 Series,4,4,-1,2.2,-1,-1,256,2,-1,-1,-1,25,76,1600,1,-1,600,-1
on,6274,16,16,-1,2.2,3.1,-1,768,16,16,-1,n/a,115,69,2000,-1,-1,-1,-1
on,6272,16,16,-1,2.1,3,-1,768,16,16,-1,n/a,115,69,2000,-1,-1,-1,-1
on,Athlon™ 5350 APU with Radeon™ R3 Series,4,4,-1,2.05,-1,-1,256,2,-1,-1,-1,25,76,1600,1,-1,600,-1
on,AMD Athlon™ PRO 200U Mobile Processor with Radeon™ Vega 3 Graphics,2,4,3,2.3,3.2,-1,192,1,4,-1,3,15,105,2400,2,-1,1000,-1
on,6262 HE,16,16,-1,1.6,2.9,-1,768,16,16,-1,n/a,85,65,1800,-1,-1,-1,-1
on,Athlon™ 5150 APU with Radeon™ R3 Series,4,4,-1,1.6,-1,-1,256,2,-1,-1,-1,25,76,1600,1,-1,600,-1
on,AMD Athlon™ PRO 200GE,2,4,3,3.2,-1,-1,192,1,4,-1,3,35,95,2667,2,-1,1000,-1
on,6238,12,12,-1,2.6,3.2,-1,576,12,16,-1,n/a,115,70.4,2000,-1,-1,-1,-1
on,Sempron™ 3850 APU with Radeon™ R3 Series,4,4,-1,1.3,-1,-1,256,2,-1,-1,-1,25,90,1600,1,-1,450,-1
on,6234,12,12,-1,2.4,3,-1,576,12,16,-1,n/a,115,70.4,2000,-1,-1,-1,-1
on,Sempron™ 2650 APU with Radeon™ R3 Series,2,2,-1,1.45,-1,-1,128,1,-1,-1,-1,25,90,1333,1,-1,400,-1
on,E2-7110 with Radeon™ R2 Graphics,4,4,-1,1.8,1.8,-1,-1,2,-1,-1,-1,65,90,1600,1,-1,600,-1
on,6220,8,8,-1,3,3.6,-1,384,8,16,-1,n/a,115,71.7,2000,-1,-1,-1,-1
on,E2-7110 with Radeon™ R2 Graphics,4,4,-1,1.8,1.8,-1,-1,2,-1,-1,-1,65,90,1600,1,-1,600,-1
on,6212,8,8,-1,2.6,3.2,-1,384,8,16,-1,n/a,115,71.7,2000,-1,-1,-1,-1
on,E2-6110 with Radeon™ R2 Graphics,4,4,-1,1.5,-1,-1,-1,2,-1,-1,-1,15,-1,1600,1,-1,-1,-1
on,6204,4,4,-1,3.3,-1,-1,512,4,16,-1,n/a,115,74.4,2000,-1,-1,-1,-1
on,E2-3800 with Radeon™ HD 8280,4,4,-1,1.3,-1,-1,128,2,-1,-1,-1,15,90,1600,1,-1,450,-1
on,6180 SE,12,12,-1,2.5,-1,-1,1536,6,12,-1,n/a,140,64,1800,-1,-1,-1,-1
on,E2-3000 with Radeon™ HD 8280,2,2,-1,1.65,-1,-1,-1,1,-1,-1,-1,15,-1,-1,1,-1,-1,-1
on,6176,12,12,-1,2.3,-1,-1,1536,6,12,-1,n/a,115,69,1800,-1,-1,-1,-1
on,6166 HE,12,12,-1,1.8,-1,-1,1536,6,12,-1,n/a,85,69,1800,-1,-1,-1,-1
on,6140,8,8,-1,2.6,-1,-1,1024,4,12,-1,n/a,115,69,1800,-1,-1,-1,-1
on,6132 HE,8,8,-1,2.2,-1,-1,1024,4,12,-1,n/a,85,66,1800,-1,-1,-1,-1
on,E2-7110 with Radeon™ R2 Graphics,4,4,-1,1.8,1.8,-1,-1,2,-1,-1,-1,65,90,1600,1,-1,600,-1
on,4386,8,8,-1,3.1,3.8,-1,384,8,8,-1,n/a,95,70.5,2200,-1,-1,-1,-1
on,4376 HE,8,8,-1,2.6,3.6,-1,384,8,8,-1,n/a,65,68,2000,-1,-1,-1,-1
on,4365,8,8,-1,2,2.8,-1,384,8,8,-1,n/a,40,70,1600,-1,-1,-1,-1
on,4340,6,6,-1,3.5,3.8,-1,288,6,8,-1,n/a,95,67.7,2200,-1,-1,-1,-1
on,4334,6,6,-1,3.1,3.5,-1,288,6,8,-1,n/a,95,67.7,2000,-1,-1,-1,-1
on,E1-7010 with Radeon™ R2 Graphics,2,2,-1,1.5,1.5,-1,-1,1,-1,-1,-1,10,90,1333,1,-1,400,-1
on,4332 HE,6,6,-1,3,3.7,-1,288,6,8,-1,n/a,65,68,2000,-1,-1,-1,-1
on,4310 EE,6,6,-1,2.2,3,-1,192,4,8,-1,n/a,35,85,1600,-1,-1,-1,-1
on,E1 Micro-6200T with Radeon™ R2 Graphics,2,2,-1,1.4,-1,-1,-1,1,-1,-1,-1,3.95,-1,-1,1,-1,-1,-1
on,4284,8,8,-1,3,3.7,-1,384,8,8,-1,n/a,95,70.5,2200,-1,-1,-1,-1
on,E1-6010 with Radeon™ R2 Graphics,2,2,-1,1.35,-1,-1,-1,1,-1,-1,-1,10,-1,-1,1,-1,-1,-1
on,4280,8,8,-1,2.8,2.2,-1,384,8,8,-1,n/a,95,70.5,2200,-1,-1,-1,-1
on,E1-2500 with Radeon™ HD 8240,2,2,-1,1.4,-1,-1,-1,1,-1,-1,-1,15,-1,-1,1,-1,-1,-1
on,4276 HE,8,8,-1,2.6,3.6,-1,384,8,8,-1,n/a,65,68,2000,-1,-1,-1,-1
on,E1-2200 with Radeon™ HD 8210,2,2,-1,1,-1,-1,-1,1,-1,-1,-1,9,-1,-1,1,-1,-1,-1
on,4274 HE,8,8,-1,2.5,3.5,-1,384,8,8,-1,n/a,65,68,2000,-1,-1,-1,-1
on,E1-2100 with Radeon™ HD 8210,2,2,-1,1,-1,-1,-1,1,-1,-1,-1,9,-1,-1,1,-1,-1,-1
on,4256 EE,8,8,-1,1.6,2.8,-1,384,8,8,-1,n/a,35,64,1600,-1,-1,-1,-1
on,4240,6,6,-1,3.4,3.8,-1,288,6,8,-1,n/a,95,70.5,-1,-1,-1,-1,-1
on,4238,6,6,-1,3.3,3.7,-1,288,6,8,-1,n/a,95,70.5,2200,-1,-1,-1,-1
on,4234,6,6,-1,3.1,3.5,-1,288,6,8,-1,n/a,95,70.5,2200,-1,-1,-1,-1
on,E1-7010 with Radeon™ R2 Graphics,2,2,-1,1.5,1.5,-1,-1,1,-1,-1,-1,-1,90,1333,1,-1,400,-1
on,4230 HE,6,6,-1,2.9,3.7,-1,288,6,8,-1,n/a,65,68,2000,-1,-1,-1,-1
on,4228 HE,6,6,-1,2.8,3.6,-1,288,6,8,-1,n/a,65,68,2000,-1,-1,-1,-1
on,4226,6,6,-1,2.7,3.1,-1,288,6,8,-1,n/a,95,70.5,2000,-1,-1,-1,-1
on,3380,8,8,-1,2.6,3.6,-1,384,8,8,-1,n/a,65,70.3,2000,-1,-1,-1,-1
on,3365,8,8,-1,2.3,3.3,-1,384,8,8,-1,n/a,65,70.3,2000,-1,-1,-1,-1
on,3350 HE,4,4,-1,2.8,3.8,-1,192,4,8,-1,n/a,45,69.1,2000,-1,-1,-1,-1
on,3320 EE,4,4,-1,1.9,2.5,-1,192,4,8,-1,n/a,25,70,1400,-1,-1,-1,-1
on,3280,8,8,-1,2.4,3.4,-1,384,8,8,-1,n/a,65,61.1,2000,-1,-1,-1,-1
on,AMD Opteron™ X2170,4,4,-1,2.4,-1,-1,-1,2,-1,-1,-1,25,-1,1866,-1,-1,800,-1
on,3260 HE,4,4,-1,2.7,3.7,-1,192,4,4,-1,n/a,45,61.1,2000,-1,-1,-1,-1
on,AMD Opteron™ X2150 APU,4,4,-1,1.9,-1,-1,-1,2,-1,-1,-1,22,-1,-1,-1,-1,600,-1
on,3250 HE,-1,-1,-1,2.5,3.5,-1,192,4,4,-1,n/a,45,-1,2000,-1,-1,-1,-1
on,TL-64,2,2,-1,2.2,-1,-1,-1,1,-1,-1,n/a,35,95,667,-1,-1,-1,-1
on,TL-60,2,2,-1,2,-1,-1,-1,1,-1,-1,n/a,31,-1,667,-1,-1,-1,-1
on,TL-56,-1,-1,-1,1.8,-1,-1,-1,-1,-1,-1,n/a,31,-1,-1,-1,-1,-1,-1
on,TL-52,2,2,-1,1.6,-1,-1,-1,2,-1,-1,n/a,31,-1,-1,-1,-1,-1,-1
